url,property_id,address
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu56081,rbu56081,Lange Stuivenbergstraat 10 301 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rwc40842,rwc40842,Gijsbrecht van Deurnelaan 77 2100 Deurne
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu56086,rbu56086,Kroonstraat 167 3 2140 Borgerhout
https://immovlan.be/en/detail/studio/for-sale/2000/antwerp/rbu55739,rbu55739,Oude Koornmarkt 57 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu56080,rbu56080,Lange Stuivenbergstraat 10 101 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu56042,rbu56042,August Vermeylenlaan 15 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu55593,rbu55593,Begijnenvest 46 101 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2610/wilrijk/rbu55788,rbu55788,Heistraat 61 3.1 2610 Wilrijk
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu56078,rbu56078,Lange Stuivenbergstraat 10 001 2060 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/antwerp,antwerp,None
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu56084,rbu56084,Lange Stuivenbergstraat 10 201 2060 Antwerp
https://immovlan.be/en/detail/duplex/for-sale/2170/merksem/rbu64291,rbu64291,Van Heybeeckstraat 1 201 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu62567,rbu62567,August Vermeylenlaan 19 0403 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu63004,rbu63004,Olijftakstraat 44 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu63003,rbu63003,Tulpstraat 57 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu16452,rbu16452,Frankrijklei 78 001 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2660/hoboken/rbu16430,rbu16430,Antwerpsesteenweg 275 A3 2660 Hoboken
https://immovlan.be/en/detail/duplex/for-sale/2060/antwerp/rbu16398,rbu16398,Osystraat 35 4 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2050/antwerp/rbu16448,rbu16448,Gloriantlaan 57 1302 2050 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2018/antwerp/rbu16423,rbu16423,Belgiëlei 7 16 2018 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu16396,rbu16396,Viaduct-Dam 23 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu16397,rbu16397,Osystraat 35 1 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu16014,rbu16014,Bredabaan 461 201 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2100/deurne/rbu16027,rbu16027,Van Amstelstraat 55 2 2100 Deurne
https://immovlan.be/en/real-estate/apartment/for-sale/berchem,berchem,None
https://immovlan.be/en/detail/apartment/for-sale/2170/merksem/rbu16015,rbu16015,Bredabaan 461 301 2170 Merksem
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu16386,rbu16386,Hof ter Lo 8 V2 2140 Borgerhout
https://immovlan.be/en/detail/apartment/for-sale/2000/antwerp/rbu16379,rbu16379,Verlatstraat 10 304 2000 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2140/borgerhout/rbu16382,rbu16382,Turnhoutsebaan 322 9 2140 Borgerhout
https://immovlan.be/en/detail/studio/for-sale/2060/antwerp/rbu16387,rbu16387,Greinstraat 53 402 2060 Antwerp
https://immovlan.be/en/detail/apartment/for-sale/2060/antwerp/rbu16380,rbu16380,Lange Beeldekensstraat 193 V3 2060 Antwerp
https://immovlan.be/en/real-estate/apartment/for-sale/merksem,merksem,None
